Drug Id, Name, Synonyms, Targets, Target pathway, PubCHEM, Datasets, number of cell lines, Screening site
"179","5-Fluorouracil","5-FU","Antimetabolite (DNA & RNA)","Other","3385","GDSC1","907","MGH"
"86","A-443654","KIN001-139","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10172943","GDSC1","397","MGH"
"55","A-770041","KIN001-111","LCK, FYN","Other, kinases","9549184","GDSC1","397","MGH"
"477","A-83-01","","TGFB","Other","","GDSC1","905","MGH"
"264","ACY-1215","","HDAC6","Chromatin histone acetylation","","GDSC1","917","MGH"
"562","AGI-6780","","IDH2(R140Q)","Metabolism","","GDSC1","909","MGH"
"171","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","877","MGH"
"228","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","913","MGH"
"272","AR-42","HDAC-42, AR 42, AR42","HDAC1","Chromatin histone acetylation","6918848","GDSC1","899","MGH"
"474","ARRY-520","","KIF11","Mitosis","","GDSC1","899","MGH"
"207","AS601245","","JNK1, JNK2, JNK2","JNK and p38 signaling","10109823","GDSC1","870","MGH"
"224","AS605240","KIN001-173, AS-605240","PI3Kgamma","PI3K/MTOR signaling","5289247","GDSC1","908","MGH"
"381","AST-1306","","EGFR, ERBB4","RTK signaling","","GDSC1","903","MGH"
"219","AT-7519","AT7519","CDK1, CDK2, CDK4, CDK6, CDK9","Cell cycle","11338033","GDSC1","902","MGH"
"356","AT7867","","AKT","PI3K/MTOR signaling","","GDSC1","919","MGH"
"29","AZ628","AZ-628, AZ 628","BRAF","ERK MAPK signaling","11676786","GDSC1","401","MGH"
"156","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC1","876","MGH"
"281","Alectinib","CH5424802, CH 542802, Alecensa","ALK","RTK signaling","49806720","GDSC1","911","MGH"
"431","Alisertib","MLN8237","AURKA","Mitosis","","GDSC1","891","MGH"
"293","Amuvatinib","MP470, MP 470, MP-470","KIT, PDGFRA, FLT3","RTK signaling","11282283","GDSC1","906","MGH"
"382","Apitolisib","GDC0980","mTOR, PI3K","PI3K/MTOR signaling","","GDSC1","907","MGH"
"427","Ara-G","9-??-D-Arabinofuranosyl guanine","Anti-metabolite","Other","","GDSC1","906","MGH"
"205","Avagacestat","BMS-708163, BMS 708163","Amyloid beta20, Amyloid beta40","Other","46883536","GDSC1","914","MGH"
"552","BAM7","","Bax activator","Other","","GDSC1","908","MGH"
"178","BAY-61-3606","Syk Inhibitor, BAY-613606","SYK","Other, kinases","10200390","GDSC1","871","MGH"
"60","BI-2536","","PLK1, PLK2, PLK3","Cell cycle","11364421","GDSC1","395","MGH"
"380","BIBF-1120","","VEGFR, PDGFR, FGFR","RTK signaling","","GDSC1","918","MGH"
